1	12517	12718	MYB119_peak_2919	155	.	1	11648	13173	.	.	-
1	12517	12718	MYB119_peak_2919	155	.	1	12423	13173	.	.	-
1	39806	40007	MYB119_peak_6778	115	.	1	39408	39814	.	.	-
1	39806	40007	MYB119_peak_6778	115	.	1	39408	39814	.	.	-
1	58799	59000	MYB119_peak_1930	187	.	1	57163	59215	.	.	-
1	67677	67878	MYB119_peak_4138	134	.	1	67323	67774	.	.	-
1	95769	95970	MYB119_peak_7118	113	.	1	95934	96157	.	.	+
1	95832	96033	MYB119_peak_2885	156	.	1	95934	96157	.	.	+
1	105288	105489	MYB119_peak_7881	111	.	1	104439	105330	.	.	-
1	118006	118207	MYB119_peak_2708	160	.	1	116783	118845	.	.	+
1	126974	127175	MYB119_peak_7768	111	.	1	126934	127453	.	.	-
1	126974	127175	MYB119_peak_7768	111	.	1	126934	127453	.	.	-
1	126974	127175	MYB119_peak_7768	111	.	1	126934	127453	.	.	-
1	128330	128531	MYB119_peak_931	257	.	1	128478	128551	.	.	-
1	128330	128531	MYB119_peak_931	257	.	1	128478	128551	.	.	-
1	128330	128531	MYB119_peak_931	257	.	1	128478	128551	.	.	-
1	135625	135826	MYB119_peak_6086	118	.	1	135707	135924	.	.	-
1	166820	167021	MYB119_peak_758	283	.	1	166588	166871	.	.	-
1	166820	167021	MYB119_peak_758	283	.	1	166617	167842	.	.	-
1	166820	167021	MYB119_peak_758	283	.	1	167013	168088	.	.	-
1	167641	167842	MYB119_peak_5578	121	.	1	166617	167842	.	.	-
1	167641	167842	MYB119_peak_5578	121	.	1	167013	168088	.	.	-
1	168447	168648	MYB119_peak_5959	119	.	1	168558	168801	.	.	+
1	195851	196052	MYB119_peak_4938	125	.	1	195644	196542	.	.	+
1	195851	196052	MYB119_peak_4938	125	.	1	195811	196542	.	.	+
1	199460	199661	MYB119_peak_7672	111	.	1	199526	199763	.	.	+
1	199460	199661	MYB119_peak_7672	111	.	1	199629	199959	.	.	+
1	214349	214550	MYB119_peak_6357	117	.	1	214149	214406	.	.	+
1	214349	214550	MYB119_peak_6357	117	.	1	214479	214582	.	.	+
1	234794	234995	MYB119_peak_1707	197	.	1	234934	234988	.	.	-
1	234794	234995	MYB119_peak_1707	197	.	1	234934	234988	.	.	-
1	234794	234995	MYB119_peak_1707	197	.	1	234934	234988	.	.	-
1	234794	234995	MYB119_peak_1707	197	.	1	234934	234988	.	.	-
1	276446	276647	MYB119_peak_9001	108	.	1	276367	276519	.	.	-
1	276446	276647	MYB119_peak_9001	108	.	1	276404	276519	.	.	-
1	276446	276647	MYB119_peak_9001	108	.	1	276411	276519	.	.	-
1	276446	276647	MYB119_peak_9001	108	.	1	276411	276519	.	.	-
1	276446	276647	MYB119_peak_9001	108	.	1	276542	276729	.	.	+
1	276446	276647	MYB119_peak_9001	108	.	1	276622	276793	.	.	-
1	310069	310270	MYB119_peak_2068	181	.	1	310168	310981	.	.	+
1	318435	318636	MYB119_peak_7882	111	.	1	318564	318813	.	.	+
1	318435	318636	MYB119_peak_7882	111	.	1	318564	318813	.	.	+
1	318435	318636	MYB119_peak_7882	111	.	1	318564	318813	.	.	+
1	318435	318636	MYB119_peak_7882	111	.	1	318564	318813	.	.	+
1	318435	318636	MYB119_peak_7882	111	.	1	318564	319101	.	.	+
1	341692	341893	MYB119_peak_2693	160	.	1	340107	342040	.	.	-
1	349907	350108	MYB119_peak_2970	154	.	1	350048	350147	.	.	+
1	349907	350108	MYB119_peak_2970	154	.	1	350048	350147	.	.	+
1	349907	350108	MYB119_peak_2970	154	.	1	350048	350147	.	.	+
1	349907	350108	MYB119_peak_2970	154	.	1	350048	350147	.	.	+
1	349907	350108	MYB119_peak_2970	154	.	1	350048	350147	.	.	+
1	349907	350108	MYB119_peak_2970	154	.	1	350048	350147	.	.	+
1	356362	356563	MYB119_peak_5977	119	.	1	355123	357258	.	.	-
1	356695	356896	MYB119_peak_5312	122	.	1	355123	357258	.	.	-
