1	2730	2931	MYB119_peak_3711	140	.	1	2630	3630	AT1G01010	.	+
1	49630	49831	MYB119_peak_6933	114	.	1	49304	50304	AT1G01090	.	-
1	67677	67878	MYB119_peak_4138	134	.	1	67774	68774	AT1G01140	.	-
1	68148	68349	MYB119_peak_905	261	.	1	67774	68774	AT1G01140	.	-
1	95769	95970	MYB119_peak_7118	113	.	1	94934	95934	AT1G01225	.	+
1	95832	96033	MYB119_peak_2885	156	.	1	94934	95934	AT1G01225	.	+
1	98670	98871	MYB119_peak_5910	119	.	1	98864	99864	AT1G01240	.	+
1	105288	105489	MYB119_peak_7881	111	.	1	105330	106330	AT1G01250	.	-
1	108044	108245	MYB119_peak_6934	114	.	1	107945	108945	AT1G01260	.	+
1	135625	135826	MYB119_peak_6086	118	.	1	135089	136089	AT1G01350	.	+
1	140737	140938	MYB119_peak_8245	110	.	1	140869	141869	AT1G01360	.	+
1	167641	167842	MYB119_peak_5578	121	.	1	167558	168558	AT1G01460	.	+
1	168447	168648	MYB119_peak_5959	119	.	1	167558	168558	AT1G01460	.	+
1	168447	168648	MYB119_peak_5959	119	.	1	168088	169088	AT1G01453	.	-
1	199460	199661	MYB119_peak_7672	111	.	1	198526	199526	AT1G01550	.	+
1	201864	202065	MYB119_peak_5579	121	.	1	201102	202102	AT1G01560	.	+
1	213205	213406	MYB119_peak_5263	123	.	1	213149	214149	AT1G01590	.	+
1	261897	262098	MYB119_peak_3449	144	.	1	261667	262667	AT1G01700	.	-
1	261897	262098	MYB119_peak_3449	144	.	1	261827	262827	AT1G01710	.	+
1	302434	302635	MYB119_peak_4939	125	.	1	302310	303310	AT1G01830	.	-
1	302434	302635	MYB119_peak_4939	125	.	1	302536	303536	AT1G01840	.	+
1	310069	310270	MYB119_peak_2068	181	.	1	309168	310168	AT1G01900	.	+
1	310069	310270	MYB119_peak_2068	181	.	1	309541	310541	AT1G01880	.	-
1	367162	367363	MYB119_peak_6143	118	.	1	367166	368166	AT1G02067	.	-
1	455474	455675	MYB119_peak_2620	162	.	1	454687	455687	AT1G02305	.	+
1	463828	464029	MYB119_peak_2097	180	.	1	463618	464618	AT1G02330	.	-
1	476396	476597	MYB119_peak_6704	115	.	1	475944	476944	AT1G02380	.	+
1	556371	556572	MYB119_peak_9002	108	.	1	556091	557091	AT1G02620	.	+
1	556371	556572	MYB119_peak_9002	108	.	1	556152	557152	AT1G02610	.	-
1	568259	568460	MYB119_peak_4176	133	.	1	567557	568557	AT1G02650	.	+
1	598801	599002	MYB119_peak_46	606	.	1	598657	599657	AT1G02730	.	-
1	617826	618027	MYB119_peak_4143	134	.	1	617060	618060	AT1G02810	.	+
1	659799	660000	MYB119_peak_5731	120	.	1	659980	660980	AT1G02920	.	-
1	662386	662587	MYB119_peak_5836	119	.	1	662475	663475	AT1G02930	.	-
1	738849	739050	MYB119_peak_6415	116	.	1	738306	739306	AT1G03080	.	-
1	738849	739050	MYB119_peak_6415	116	.	1	738543	739543	AT1G03090	.	+
1	751784	751985	MYB119_peak_7673	111	.	1	751190	752190	AT1G03120	.	+
1	851401	851602	MYB119_peak_2239	175	.	1	851150	852150	AT1G03440	.	+
1	851489	851690	MYB119_peak_5788	119	.	1	851150	852150	AT1G03440	.	+
1	888490	888691	MYB119_peak_8522	109	.	1	887956	888956	AT1G03550	.	-
1	922559	922760	MYB119_peak_662	295	.	1	922389	923389	AT1G03710	.	+
1	951792	951993	MYB119_peak_6472	116	.	1	951850	952850	AT1G03780	.	-
1	967687	967888	MYB119_peak_6935	114	.	1	966790	967790	AT1G03830	.	-
1	1003960	1004161	MYB119_peak_4470	130	.	1	1003687	1004687	AT1G03930	.	+
1	1021927	1022128	MYB119_peak_8677	109	.	1	1022108	1023108	AT1G03980	.	-
1	1036002	1036203	MYB119_peak_2681	161	.	1	1035492	1036492	AT1G04020	.	+
1	1040224	1040425	MYB119_peak_106	491	.	1	1039374	1040374	AT1G04030	.	+
1	1124431	1124632	MYB119_peak_6563	116	.	1	1124514	1125514	AT1G04230	.	+
1	1162780	1162981	MYB119_peak_673	294	.	1	1161982	1162982	AT1G04330	.	-
1	1178504	1178705	MYB119_peak_4	954	.	1	1178488	1179488	AT1G04380	.	-
1	1196904	1197105	MYB119_peak_7883	111	.	1	1196955	1197955	AT1G04430	.	+
